acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,45,"Crime,Drama,Thriller",English,United States,TV-MA,9.5,Breaking Bad,Breaking Bad,2008
"John Hurt,Roger Munns",A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,Documentary,English,United Kingdom,TV-PG,9.0,Human Planet,Human Planet,2011
"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse,Michele Winstanley",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,Comedy,English,United Kingdom,TV-PG,9.0,Only Fools and Horses,Only Fools and Horses,1981
"Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Doug Savant,Gregory Itzin,Isabella Hofmann","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",0,"Adventure,Drama,Sci-Fi",English,United States,TV-14,9.0,Firefly,Firefly,2002
"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Lisa Hogan,Gerald Cooper,Dilwyn Evans,Alan Townsend,Kevin Harrison,Ellen Helliwell,Tim Coles,Kieron Cooper,Paddy Bourns,Georgia Craig,Katy Coles,Emma Ledbury,Steph Bourns,Simon Strong,Viktor Zaichenko",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,"Documentary,Comedy,Reality-TV",English,United Kingdom,TV-PG,9.0,Clarkson's Farm,Clarkson's Farm,2021
"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Mark Margolis,Kerry Condon,Ray Campbell,Jeremiah Bitsui,Cara Pifko,Dennis Boutsikaris,Ed Begley Jr.,Josh Fadem,Tina Parker,Julian Bonfiglio",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,0,"Crime,Drama",English,United States,TV-MA,9.0,Better Call Saul,Better Call Saul,2015
"Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,"Animation,Action,Adventure",Japanese,Japan,TV-14,9.0,Hunter x Hunter,Hunter x Hunter,2011
"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Gavin Thurston,Doug Anderson,Mark Linfield,Jamie McPherson,Jeff Turner,Vanessa Berlowitz,Jeff Wilson,Niobe Thompson,Doug Allan,Hugh Miller,Miles Barton,Mark Smith,Alun Hubbard",Focuses on life and the environment in both the Arctic and Antarctic.,0,Documentary,English,United Kingdom,TV-PG,9.0,Frozen Planet,Frozen Planet,2011
"David Attenborough,Pierce Brosnan,Peter Scoones","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,Documentary,English,United Kingdom,TV-G,9.0,The Blue Planet,The Blue Planet,2001
"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas,Remy Hii,Harry Lloyd,Toks Olagundoye,Robin Atkin Downes,Arthur Ortiz,JB Blanc,Dave B. Mitchell,Amirah Vann,Katie Leung,Ella Purnell,Elsa Davoine,Mia Sinclair Jenness,Josh Keaton,Mick Wingert","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",41,"Animation,Action,Adventure",English,United States,TV-14,9.0,Arcane,Arcane,2021
"Hiroyuki Sanada,Cosmo Jarvis,Anna Sawai,Tadanobu Asano,Yûki Kedôin,Eushin Lee,Yuki Kura,Akiko Kobayashi,Hiroto Kanai,Hiromoto Ida,Moeka Hoshi,Yasunari Takeshima,Emi Kamito,Sen Mars,Jodai Suzuki,Tommy Bastow,Kengo Hashimoto,Takehiro Hira","When a mysterious European ship is found marooned in a nearby fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",0,"Adventure,Drama,History",English,United States,TV-14,9.2,Shōgun,Shōgun,2024
"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Faisal Rashid,Himanshu Kohli,Aakanksha Gade,Anant Mahadevan,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Raghav Raj Kakker,Varun Kulkarni,K.K. Raina","The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.",54,"Biography,Crime,Drama",Hindi,India,TV-14,9.3,Scam 1992: The Harshad Mehta Story,Scam 1992: The Harshad Mehta Story,2020
"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Hans-Gerd Kilbinger,Ernst August Schepmann,Josef Tratnik,Simon Roden,Maximilian Hilbrand,Robert Steudtner,Renate Fuhrmann,Bernt Hahn,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,"Documentary,History,War",English,United States,TV-MA,9.1,The Vietnam War,The Vietnam War,2017
"Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,"Drama,Mystery",English,United States,TV-14,8.5,Alfred Hitchcock Presents,Alfred Hitchcock Presents,1955
"Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",90,"Crime,Drama,Mystery",English,United Kingdom,TV-14,8.6,Foyle's War,Foyle's War,2002
"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Ingrid Oliu,Paul Williams,Neil Ross,Aron Kincaid",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,"Animation,Action,Adventure",English,United States,TV-PG,9.0,Batman: The Animated Series,Batman: The Animated Series,1992
